subspace,params,role,depth,k_star,C1_ratio_k0,C1_ratio_best,C1_gain,C5_ratio_k0,C5_ratio_best,C5_gain
rand_blk04_mlp_1,2099712,random,4,1,0.5269211022960026,0.5269211022960026,0.0,0.3494619325754766,0.43752263176558337,0.08806069919010681
rand_blk05_attn_0,1050624,random,5,1,0.5296654830371277,0.5296654830371277,0.0,0.35316975148874424,0.4143487635576606,0.06117901206891638
rand_blk05_attn_1,1050624,random,5,1,0.5369838316801276,0.5369838316801276,0.0,0.3754166649683502,0.3754166649683502,0.0
rand_blk05_mlp_0,2099712,random,5,2,0.5077104371081276,0.5077104371081276,0.0,0.2984794225180463,0.5033364174760844,0.20485699495803805
rand_blk05_mlp_1,2099712,random,5,1,0.5269211022960026,0.5269211022960026,0.0,0.3494619325754766,0.43752263176558337,0.08806069919010681
rand_input_proj_0,268288,random,-1,1,0.5397282124212527,0.591871446502628,0.05214323408137529,0.4041522615461745,0.4041522615461745,0.0
rand_input_proj_1,268288,random,-1,1,0.5644276390913778,0.5644276390913778,0.0,0.37170884605508253,0.37170884605508253,0.0
rand_state_proj_only_0,66048,random,-1,1,0.36591743215000183,0.5003920884651275,0.13447465631512565,0.10196502011486054,0.2882829205065603,0.1863179003916997
rand_state_proj_only_1,66048,random,-1,1,0.40067958820425204,0.40067958820425204,0.0,0.006488683098218399,0.8926574033691882,0.8861687202709698
rand_lang_proj_only_0,197120,random,-1,1,0.47203348747350243,0.47203348747350243,0.0,0.30867592452953235,0.4847973229097461,0.17612139838021373
rand_lang_proj_only_1,197120,random,-1,1,-0.031102981732750157,0.36957660647150187,0.40067958820425204,0.20578394968635494,0.3151646076277507,0.10938065794139581
rand_output_head_0,38475,random,99,1,0.2854155970770014,0.37232098721262685,0.08690539013562541,-0.00926954728316914,0.11679629576793116,0.1260658430511003
rand_output_head_1,38475,random,99,2,0.25888658324612634,0.3137741980686266,0.05488761482250031,-0.031516460762775075,0.4282530844824143,0.45976954524518937
rand_first_ln_0,1024,random,0,2,0.15002614718150073,0.2579717896657513,0.10794564248425056,-0.03058950603445816,0.22246913479605937,0.25305864083051754
rand_first_ln_1,1024,random,0,2,0.3366440375780017,0.402509175365002,0.06586513778700029,-0.1983683118598196,0.28179423740834186,0.4801625492681615
rand_last_ln_0,1024,random,99,2,0.15002614718150073,0.2579717896657513,0.10794564248425056,-0.03058950603445816,0.22246913479605937,0.25305864083051754
rand_last_ln_1,1024,random,99,2,0.3366440375780017,0.402509175365002,0.06586513778700029,-0.1983683118598196,0.28179423740834186,0.4801625492681615
